index,name,year,hardware,related_game,is_link,id,thumbnail_url
1,"Super Mario Bros.",1985,"Nintendo Entertainment System","New Super Mario Bros.|New 超級瑪利歐兄弟U 豪華版|Super Mario 64|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy|Super Mario Galaxy 2|Super Mario Land|Super Mario World|超級瑪利歐 奧德賽|超級瑪利歐兄弟 驚奇",False,"4cf411d1-7917-40b5-9f53-bfa2052d7b64","https://image-assets.m.nintendo.com/ca47dec6-1956-4222-afba-fe0ecca035bf"
2,"Metroid (Famicom Disk System)",1986,"Nintendo Entertainment System","Metroid (NES)|Metroid II - Return of Samus|Metroid Prime",False,"a6460660-a9ed-4013-afc7-ae9f5c55921a","https://image-assets.m.nintendo.com/54f60c66-365d-4485-85e3-3d424cfa58dc"
3,"Metroid (NES)",1987,"Nintendo Entertainment System","Metroid (Famicom Disk System)|Metroid II - Return of Samus|Metroid Prime",False,"a12f99be-82cd-4318-82f7-d6d6c3fd447b","https://image-assets.m.nintendo.com/92cde466-c87c-474f-beb1-97bed1511708"
4,"Dr. Mario (Game Boy)",1990,"Game Boy","Dr. Mario (NES)",False,"4f9fd050-cb14-44c5-b6b6-49145d416384","https://image-assets.m.nintendo.com/28ca3fae-13cf-474d-8f27-8e47645ed511"
5,"Kirby's Dream Land",1992,"Game Boy","卡比的美食節|星之卡比 探索發現|星之卡比 新星同盟",False,"6c8da15c-c4d1-4f39-9bad-bbaa9bf44fd8","https://image-assets.m.nintendo.com/ee442c76-9ec4-4368-8117-2c8c3fda4bb4"
6,"Donkey Kong Country",1994,"Super Nintendo Entertainment System","Donkey Kong Country 2: Diddy's Kong-Quest|Donkey Kong Country 3: Dixie Kong's Double Trouble!",False,"ce614c2a-ca3e-449a-aa30-ddd626602f90","https://image-assets.m.nintendo.com/cb9b9d7e-d9e7-4e86-a75f-04a73d1aef84"
7,"Super Mario World 2: Yoshi's Island",1995,"Super Nintendo Entertainment System","Yoshi's Story|耀西的手工世界",False,"78c1596d-e1fe-40d7-8727-db57dc668318","https://image-assets.m.nintendo.com/0e3e33c9-c3fd-49d5-96da-45d32981c036"
8,"Star Fox 64",1997,"Nintendo 64","",False,"68c46294-47d4-469a-aca6-c585598585cc","https://image-assets.m.nintendo.com/6217089e-4dc0-429a-ad75-6236cdd5d09b"
9,"The Legend of Zelda: Ocarina of Time",1998,"Nintendo 64","The Legend of Zelda (Famicom Disk System)|The Legend of Zelda (NES)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Phantom Hourglass|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link (Famicom Disk System)|Zelda II - The Adventure of Link (NES)|薩爾達傳說 時之笛 3D|薩爾達傳說 曠野之息|薩爾達傳說 王國之淚",False,"e37be727-867e-4b3f-a223-944549ea4131","https://image-assets.m.nintendo.com/85bfc89a-ecfd-4588-a40f-b4a48c2af88c"
10,"Fire Emblem: The Blazing Blade",2003,"Game Boy Advance","Fire Emblem Awakening|Fire Emblem Engage|Fire Emblem: Path of Radiance",False,"8f3bdf4d-273f-4efd-8f66-8ea1d2602d83","https://image-assets.m.nintendo.com/539efea4-7986-47f1-aa86-77d89d0cbe5d"
