index,name,duration,isLoop,isBest,playlist,id,thumbnailURL
62,"Tacozones Rendezvous / OCTOTOOL",116287,True,True,"ヒーローモード","2f9f6c27-2872-4fc0-a59d-b4c8b5cde792","https://image-assets.m.nintendo.com/3947b012-c2f6-4452-9b8d-8b74e0eb8f5a"
63,"戦略タコツボ兵器 登場 / OCTOTOOL",20777,False,False,"ヒーローモード","64092b84-474a-4474-ba45-e461a34e63d0","https://image-assets.m.nintendo.com/68fc199a-4b85-4aa1-a8ed-36affdcf90a0"
64,"Octarmaments / OCTOTOOL",244099,True,True,"OCTOTOOL/ヒーローモード","286ffe08-61c7-4cd5-9fc8-396c79f162b6","https://image-assets.m.nintendo.com/fe6be25c-ec1f-444c-be39-c385cf352d5b"
65,"ヒーローモード つづく！ / OCTOTOOL",6700,False,False,"ヒーローモード","48fe4fda-1158-4fa4-a8a4-c17cece7838e","https://image-assets.m.nintendo.com/0f78ac64-7c40-489c-8977-1b5e418f4b70"
66,"ヒーローモード Miss!! / OCTOTOOL",6106,False,False,"ヒーローモード","866c48c1-f96c-46ec-9880-48d975e72922","https://image-assets.m.nintendo.com/3925213b-b23e-4552-9e3c-718e8c1d774a"
67,"トキメキ☆ボムラッシュ / DJ Octavio feat. AORI",114329,False,True,"ヒーローモード/DJ Octavio","211897e3-09c9-4b70-aa5c-02743086091a","https://image-assets.m.nintendo.com/581cac23-339f-43a7-a024-a88b1723d7c9"
68,"ボムラッシュの夜 / DJ Octavio feat. AORI VS ホタル",234858,True,True,"ヒーローモード/DJ Octavio","a5b08ecd-701b-4a93-ae3a-b02e49f56b08","https://image-assets.m.nintendo.com/7ee37c03-4cfa-41ec-a7bd-13e89134b835"
69,"濃口シオカラ節 / シオカラーズ",257766,True,True,"シオカラーズ/ヒーローモード","45e811b2-73ca-4efa-8936-d35f4c1b4fbe","https://image-assets.m.nintendo.com/2a277e21-dabf-4115-9086-33de05fc19b2"
70,"あさってColor / シオカラーズ",241697,False,True,"シオカラーズ/ヒーローモード","651448da-5d07-458c-9325-68f73eecda7a","https://image-assets.m.nintendo.com/94bf1839-5aba-401c-9f2f-87a1a523b67b"
71,"イントロダクション",19552,False,False,"オクト・エキスパンション","c057ba28-ec0d-47db-b50e-c4a610f5c5e9","https://image-assets.m.nintendo.com/e82b107e-180c-4055-8b6b-165e0278ec85"
72,"アタリメのテーマ（Octo）～プレイヤーメイク",163234,False,False,"オクト・エキスパンション","9eb328b8-1353-45fd-97ef-155115a2ab0f","https://image-assets.m.nintendo.com/7c3ab232-e8a7-4cf0-aa41-545b4fbfefec"
73,"#5 thirsty / Dedf1sh",135196,True,False,"Dedf1sh/オクト・エキスパンション","50709dda-685a-4ac1-abba-d81e27a70954","https://image-assets.m.nintendo.com/caa42d2a-0b93-453e-8c3e-33cd609cfa85"
74,"深海メトロ中央駅",134600,True,False,"オクト・エキスパンション","c0df8424-cd27-48b4-8634-a1157bd44973","https://image-assets.m.nintendo.com/78b15914-153e-45f7-b35d-9a9fcf9fd1b0"
75,"デンワのテーマ",144492,True,False,"オクト・エキスパンション","e76d6f45-20a6-42ae-8594-d26553940550","https://image-assets.m.nintendo.com/a2f0249a-cf0e-44a9-a708-192d6efaa792"
76,"深海メトロ 車内",264742,False,False,"オクト・エキスパンション","f80bfb5f-1d37-4af4-8399-70a0e1236c13","https://image-assets.m.nintendo.com/c3b87b37-6151-41ad-bb86-53e7197e3f25"
77,"#0 shell / Dedf1sh",82656,False,False,"Dedf1sh/オクト・エキスパンション","3ffc63fc-ef0f-4256-89a3-334ec9b7d124","https://image-assets.m.nintendo.com/f6e02451-6cc7-44d8-8239-f27282fa8d40"
78,"#1 progress / Dedf1sh",156247,True,False,"Dedf1sh/オクト・エキスパンション","13cc950f-d2db-4228-a919-2e8e915d18a8","https://image-assets.m.nintendo.com/5da04859-da8a-4e19-8df1-934eca735e87"
79,"#6 frisk / Dedf1sh",113435,True,False,"Dedf1sh/オクト・エキスパンション","bdfe83e7-cec8-4f96-b3e6-f843c7ca8695","https://image-assets.m.nintendo.com/38cab171-3de6-42d7-abc8-ff5b3315fe6e"
